a,b,distance
The Balance of Dreams and Plan,Louis Dembitz Brandeis Historical Marker,0.0
The Balance of Dreams and Plan,Triangle Park Fountain,362.0
The Balance of Dreams and Plan,George L. Brodshi Hall,34.0
Charles Parrish Memorial,Allen R Hite Art Institute,920.0
Charles Parrish Memorial,Statue of David Replica,128.0
Charles Parrish Memorial,The Thinker,108.0
Charles Parrish Memorial,Louis D. Brandeis 1856 - 1941,108.0
Freedom Park The Underground Railroad,Community Park,185.0
Freedom Park The Underground Railroad,Louisville Hall,162.0
Freedom Park The Underground Railroad,Insomnia Cookies,147.0
Freedom Park The Underground Railroad,Louie Mascot Carving,0.0
Cashflow Gallopalooza,A&S Hall of Honor,53.0
Cashflow Gallopalooza,Finger Tips,21.0
Cashflow Gallopalooza,Freedom Park The Underground Railroad,61.0
Cashflow Gallopalooza,"Skydance Sculpture, Louisville",0.0
Henry Clay,The Dancer,361.0
Henry Clay,Finger Tips,0.0
Volleyball Court,The Dancer,75.0
Volleyball Court,Charles Parrish Memorial,414.0
Volleyball Court,U of L NCAA Champion Memorial,105.0
Gheens Science Hall and Rauch,Solar Telescope,0.0
Gheens Science Hall and Rauch,Musical Notes Sculpture - UOFL Music School,40.0
Stansbury Park Sign,Triangle Park Fountain,0.0
The Dancer,Charles Parrish Memorial,488.0
University of Louisville Fountains,Musical Notes Sculpture - UOFL Music School,0.0
University of Louisville Fountains,Childhood,103.0
University of Louisville Fountains,Freedom Park,181.0
University of Louisville Fountains,Historic Old Louisville,88.0
Garden Commons at The Cultural Center,Gheens Science Hall and Rauch,185.0
Burial Site of Louis D Brandeis & Wife,Louis Dembitz Brandeis Historical Marker,74.0
Louis D. Brandeis 1856 - 1941,The Thinker,0.0
Louis D. Brandeis 1856 - 1941,Louis Dembitz Brandeis Historical Marker,74.0
Truth and Justice,Gibson Memorial,102.0
Truth and Justice,Ralph R. Wright Natatorium,281.0
Truth and Justice,Miller Technology Center,0.0
Truth and Justice,University of Louisville Art Fountains,649.0
Truth and Justice,"Metal Sculpture, Louisville",38.0
Gibson Memorial,Ralph R. Wright Natatorium,179.0
Eastern Parkway Bridge,Engineering Art,313.0
Eastern Parkway Bridge,Tau Beta Pi Statue,308.0
Eastern Parkway Bridge,Gibson Memorial,25.0
Tau Beta Pi Statue,Sackett Hall,0.0
The University of Louisville,Eastern Parkway Bridge,48.0
The University of Louisville,Gibson Memorial,73.0
The University of Louisville,Ralph R. Wright Natatorium,106.0
A&S Hall of Honor,The Dancer,287.0
A&S Hall of Honor,Interfaith Center - University Of Louisville,140.0
A&S Hall of Honor,Gheens Science Hall and Rauch,28.0
George L. Brodshi Hall,Louis D. Brandeis 1856 - 1941,108.0
George L. Brodshi Hall,Burial Site of Louis D Brandeis & Wife,108.0
George L. Brodshi Hall,Charles Parrish Memorial,1.0
Insomnia Cookies,Louisville Hall,15.0
Insomnia Cookies,Kurz Hall,84.0
Insomnia Cookies,The Comfy Cow,3.0
Statue of David Replica,University of Louisville Art Fountains,792.0
Statue of David Replica,The Thinker,19.0
Allen R Hite Art Institute,Truth and Justice,649.0
Allen R Hite Art Institute,"Metal Sculpture, Louisville",611.0
U of L NCAA Champion Memorial,Ralph R. Wright Natatorium,243.0
U of L NCAA Champion Memorial,"Metal Sculpture, Louisville",0.0
Miller Technology Center,Gibson Memorial,102.0
Miller Technology Center,Statue of David Replica,143.0
Miller Technology Center,University of Louisville Art Fountains,649.0
